ID,Title,Price,Address,Num_of_Bedrooms,Num_of_Bathrooms,Floor_Area,Description,List_of_Amenities,Image URLs,Property URL
909,"New Fields Phase 2 | 2BR House and Lot for Sale in Teresa, Rizal | Futura by Filinvest",4470800,"Manna East 
                                        Dalig, Teresa",NA,2,40,"Charming Haven Get started on a bright future at New Fields, a well-planned community located within the 60-hectare, mixed-use Manna East development in Teresa, Rizal. With modern-minimalist homes and a range of amenities, this is an ideal choice for a family’s first home.  Features and Amenities:  Clubhouse Swimming Pool Kiddie Pool Play Area Multi-purpose Court   Location Manna East is located in Brgy. Dalig, Teresa, Rizal. Just a few minutes from Antipolo, Manna East is easily accessible with various types of public utility vehicles plying the area.  Landmarks:  Sta. Rosa de Lima Church – 2.4 km Teresa Elementary School – 2.7 km Teresa Public Market – 2.4 km Manila East Medical Center – 12 km SM Taytay – 13 km Robinsons Place – Antipolo – 8.9 km La Salle College of Antipolo – 6.4 km Assumption Antipolo – 9.3 km SM Masinag – 19 km   HLURB LS No. 000637 (Phase 2) | Turnover Date: 2024 Year Built: 2023","Badminton court, Parks, Swimming pool, Tennis court, Basketball court, Clubhouse, Playground, Volleyball Court","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/a338ffd13f998e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/048f64da2edac8.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/04b13f819929d6.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/c5fec7a27bed98.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/6eeca0ac7cdae5.jpg",https://www.lamudi.com.ph/new-developments/new-fields-phase-2/for-sale-2br-house-at-new-fields-phase-2-in-manna-166070937089/
910,Ayala Alabang AAV Muntinlupa City Brand New House for Sale,158000000,"Ayala Alabang, Muntinlupa",NA,5,700,"Code : DS88-002598 Category : For Sale Project : Ayala Alabang Village City : Muntilupa City Unit : 5Bedroom 5BR + 6.5T&B Size : FA: 700 sqm LA: 475 sqm Parking :4 Slot Selling Price: Php 158,000,000 Gross  Details of the property/unit: BASEMENT: Multimedia / games room with kitchenette, and own T&B. Indoor laundry, electric room, pump room, and full size service area Pantry/storage  GROUND FLOOR:  Guest room with T&B Powder Room Main Kitchen with mini bar Living/dining rm with built-in speakers Service Kitchen Pantry Linen closet Maid's rm w T&B Driver's rm w T&B Pool with lanai   2ND FLOOR:  Master Suite: with office annex and large balcony, his and hers walk-in closet, T&B Jr. Master Suite: with large balcony, walk-in closet, T&B 2 BRs, each with en suite T&B Large Family Hall with ample storage space   FEATURES:  Electric Solar Panels Centralized solar hot water CCTV Fully airconditioned Water Cistern with pump ready 4 car garage Motorized gate   If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us: Yvette De Asis Top Realty Corporation","Fully fenced, Garage, 24-hour security","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/56175e9b1908af.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/c463a763caf70e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/c4e6a13a9a399b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7cd71926b9543b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/86393c19f903fc.jpg",https://www.lamudi.com.ph/new-developments/muntinlupa-properties-by-top-realty/ayala-alabang-aav-muntinlupa-city-brand-new-house-172766664361/
911,"Ventura Real | Sapphire 2BR House for Sale in Calamba, Laguna | Futura by Filinvest",4678200,"Pueblo Solana, Ciudad de Calamba 
                                        Bubuyan, Calamba",NA,2,62,"Your Green and Healthy First Home Enjoy the heart of living at Ventura Real, a peaceful community in Calamba, Laguna with a relaxing view of Mt. Makiling. It is ideal for newlyweds wishing to start a family, professionals who want to live closer to their workplace, OFWs longing to provide a home for their loved ones, and investors who want to earn income through rental. With a name that means “royal fortune,” it’s a home where your family’s bright future begins.  Haven for Everyday Bonding Unwind and bond with loved ones right at the community’s healthy amenities:  Swimming Pool Basketball Court Pavilion Pocket Parks Outdoor Play Area with Water Feature   The Heart of Your Locale Ventura Real is part of the 67-hectare Pueblo Solana, a residential enclave within the 350-hectare Ciudad de Calamba townscape. Located in Brgy. Bubuyan, Calamba, Laguna, Ventura Real enjoys comfortable proximity to Metro Manila. Major roads, transport hubs, and famous tourist destinations, like Tagaytay, are easily within reach.  Landmarks:  Filinvest Technology Park – 4 km San Jose Hospital – 6.5 km Calamba Doctors Hospital – 9.5 km New Calamba City Hall – 11 km Calamba Medical Center – 11 km   A Well-Planned Community Established on a 5.4-hectare community, Ventura Real is a carefully-planned community offering modern minimalist inspired homes amidst wide, open spaces.  Your Home Designed with Care Ventura Real offers a cozy and charming home designed with care.  HLURB LS No. 32992 | Completion Date: 12/2023","Carport, Parks, Swimming pool, Basketball court, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/0594b1ed186cd7.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/3d9f2f5e7f5fd7.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/27d311bb386898.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/43f82f4cedd362.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/73b916a30baec0.jpg",https://www.lamudi.com.ph/new-developments/ventura-real-1/sapphire-2br-house-for-sale-at-ventura-real-in-calamba-laguna-futura-by-filinvest/
912,"4BR 3-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands",9500000,"Aguinaldo Highway 
                                        San Agustin I, Dasmariñas",NA,4,132,"Start a life that can give you the comfort to stay close to everything! 
Everything that You need is just a few steps away! Strategically located along Aguinaldo Highway, this highly accessible neighborhood is the perfect place to call home where you can spend more quality time with your loved ones.
The Villas at Dasmariñas Highlands aim to provide an ideal modern and stylish lifestyle for you and your family.
From Manila, take the Coastal Road to Aguinaldo Highway. Pass through the towns of Bacoor and Imus until you reach Brgy. San Agustin I, Dasmariñas, Cavite.
THE VILLAS at Dasmariñas Highlands is just a step away from Robinsons Mall, SM Dasmariñas and Dasmariñas Commercial Complex. It is also just 2 kms away from Walter Mart Dasma, DLSU-Dasmariñas, and other major establishments.

Amenities

24/7 Security
Swimming Pool
Playground
Basketball Court
Clubhouse
Gated Community


House Features (The Villas 3-Storey Townhouse)

Living
Dining
Kitchen
4 Bedrooms
Den
4 T&B
Carport
Enclosed Service Area


Financing: Bank
Updated Price: PHP 9,500,000.00
Reservation: PHP 30,000.00
Down payment 10%
M.A. DP 12mos.: PHP 76,666.67

Loan Value 90%
M.A. 5-20 years at 8%-10%
Required Income: PHP 239,000.00

HLURB (DHSUD) LS No. 23356
Turnover 4 to 8 months upon down payment.","Carport, Fully fenced, Swimming pool, 24-hour security, Basketball court, Clubhouse, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/0d2f4ae5d189c7.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7542451db1db60.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/816128d471d131.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7037875dc427ef.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/728872f537976b.jpg",https://www.lamudi.com.ph/new-developments/villas-at-dasmarinas-highlands/4br-3-storey-townhouse-for-sale-in-dasmari-as-cavi-17066939287/
913,"For Sale 3BR Single Attached-Complete House and Lot in Santa Maria, Bulacan at North Orchard Residences",5183808,"Caysio Rd.  
                                        Caysio, Santa Maria",NA,3,75,"Find serenity within the eco-friendly suburbia of North Orchard Residences. Rising in the heart of Bulacan is this green-community filled with lifestyle hubs that perfectly complement the natural beauty of the environment. North Orchard is located along Caysio Road, at Sta. Maria, Bulacan, accessible via NLEX & Bocaue Exit. From Manila, take NLEX and turn right at Bocaue Exit. Follow Governor Fortunato Halili Ave., then turn left when you hit Santa Maria Bypass Rd., at 2.6 km turn left at Caysio Road you will reach North Orchard Residences at 1.7 km.  Amenities  24/7 Security Clubhouse Gated Community Playground Jogging Path Swimming Pool Park Chapel Commercial Center   House Model Single Attached-Complete Lot Area: 80sqm Floor Area: 75.26 sqm Gross Floor Area: 112.36 sqm  House Features: Gated, Living Area, Dining Area, Kitchen 2 Bedrooms, Master's Bedroom, 2 T&B 2-Car Garage, Porch, Lawn, Service Area  Reservation: PHP 25,000.00  HLURB (DHSUD) LS No. 2020-03-033 Turnover Date: first half of 2022","Garage, Jogging path, Swimming pool, 24-hour security, Clubhouse, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/d9882210f54eac.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/03758cfd316067.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/27ba118273101f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/3339b1ea7966c7.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/31153bbf749669.jpg",https://www.lamudi.com.ph/new-developments/north-orchard-residences/for-sale-3br-single-attached-complete-house-and-lo-170503977532/
914,"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | AIRA Model",5282600,"Pasong Camachile I, General Trias",NA,3,80,"The newest house model inside Lancaster New City, Aira is a 2-storey Modern-Asian inspired single attached home distinct for its smooth lines and cool earth-tone colors. Growing families may want to consider choosing our Aira model for its very practical and spacious layout. With a total of three bedrooms and 2 toilet & baths, Aira is designed to give each member of the family the rooms and space they need.  Floor Area: 80 sq m Lot Area: 92 sq m # of Bedrooms: 3 # of Toilet & Bath: 2  FEATURES:    Living Area   Dining Area       Kitchen Area      Provision for Walk-in closet inside Master Bedroom Provision for 1-car garage      AMENITIES: Lifestyle community mall School Exclusive transport system Clubhouse Activity center Community center Church  AIRA has a typical contract price of PHP 5,978,000. Please refer to the sample computation below. The sample computation reflected is of the typical unit under bank financing and indicative interest rate as of January 2021. Prices and computation may be subject to change depending on the specific unit and bank findings on individual accounts.  Typical Contract Price: Php 5,282,600 Reservation Fee: Php 40,000 Monthly Equity: Php 41,355 (in 15 months*) Est. Monthly Amortization: Php 41,588 (in 20 years)  Pre-selling","Garage, Swimming pool, Function area, Clubhouse","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/308af1ad3ae5af.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/fdfcd15b58bf67.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/5d46cc2b9c8fe6.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/710df5d4189198.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/6a9ea835877f0e.jpg",https://www.lamudi.com.ph/new-developments/lancaster-new-city/3-bedroom-house-and-lot-for-sale-in-general-trias-170417778923/
915,"3-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | MARGARET Model",5690000,"San Sebastian, Kawit",NA,3,72,"Margaret is our Single Attached home with a big  garden space where families can create their own herb and succulent gardens. Perfect! With the growing number of plantitos and plantitas. In Margaret's ground floor you can plan out an open space layout for the living and dining areas. Then an efficiently laid out kitchen for easy meal preparations. It also has an accessible T&B at the ground floor. At the second floor, there are 3 bedrooms with shared toilet and bath for the family.  Floor Area: 72 sq m Lot Area: 100 sq m # of Bedrooms: 3 # of Toilet & Bath: 2 FEATURES: Big garden space Provision for Lanai Single-car garage Fence & Gate   AMENITIES: 9-12 minute drive to the lifestyle community mall School Exclusive transport system Clubhouse Activity center Church 6 to 8 minute drive to CALAX Open Canal Interchange  MARGARET has a typical contract price of PHP 5,690,000. Please refer to the sample computation below. The sample computation reflected is of the typical unit under bank financing and indicative interest rate as of January 2021. Prices and computation may be subject to change depending on the specific unit and bank findings on individual accounts.  Typical Contract Price: Php 5,690,000.00 Reservation Fee: Php 40,000.00 Monthly Equity: Php 90,000.00 Est. Monthly Amortization: Php 40,000.00  Ready for Occupancy","Garage, Lanai, Swimming pool, Function area, Clubhouse","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/2fa8f5570eaf31.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/090718675eb3eb.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/d8e5466afbafab.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/27ac73ae9ea2f2.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/58243905049883.jpg",https://www.lamudi.com.ph/new-developments/lancaster-new-city/3-bedroom-house-and-lot-for-sale-in-kawit-cavite-a-170417779320/
916,"4-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | BRIANA Model",6756360,"San Sebastian, Kawit",NA,4,110,"Families looking for more bedrooms would simply love Lancaster New City’s Briana, a 2-storey, single-attached house model. Ensuring that growing families will have the private space they need, we designed a home with 4 bedrooms and 3 toilet & baths. Briana also has a family area that goes out to the house’s balcony. If you have a family with growing children, this is a perfect home where you may enjoy entertaining guests in your spacious living area or your cozy family area on the second floor.

Floor Area: 110 sq m
Lot Area: 100 sq m
# of Bedrooms: 4
# of Toilet & Bath: 3

FEATURES:                                                                                           
Living area                                                                                         
Dining area        
Kitchen area    
Family room      
Balcony 
Provision for 2-car garage                                                               
Option for Family Enclave 

AMENITIES:
Lifestyle community mall
School
Exclusive transport system
Clubhouse
Activity center
Community center
Church

BRIANA has a typical contract price of PHP 6,756,360. The sample computation reflected is of the typical unit under bank financing and indicative interest rate as of January 2021. Prices and computation may be subject to change depending on the specific unit and bank findings on individual accounts.

Typical Contract Price: Php 6,756,360.00
Reservation Fee: Php 40,000.00
Monthly Equity: Php 108,161.56 (in 9 months*)
Est. Monthly Amortization: Php 51,670.42 (in 20 years)

Turnover Date: Dec 2022","Balcony, Garage, Swimming pool, Function area, Clubhouse","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/534dc8c0634fef.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/ff80e773d31b5b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/4d5f63858acd6e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/88cb93cf294f57.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/0ebaf1ac7e5fc6.jpg",https://www.lamudi.com.ph/new-developments/lancaster-new-city/4-bedroom-house-and-lot-for-sale-in-kawit-cavite-a-17041777828/
917,"4-Bedroom 3-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands",9500000,"Aguinaldo Highway 
                                        San Agustin I, Dasmariñas",NA,4,132,"Start a life that can give you the comfort to stay close to everything! 
Everything that You need is just a few steps away! Strategically located along Aguinaldo Highway, this highly accessible neighborhood is the perfect place to call home where you can spend more quality time with your loved ones.
The Villas at Dasmariñas Highlands aim to provide an ideal modern and stylish lifestyle for you and your family.
From Manila, take the Coastal Road to Aguinaldo Highway. Pass through the towns of Bacoor and Imus until you reach Brgy. San Agustin I, Dasmariñas, Cavite.
THE VILLAS at Dasmariñas Highlands is just a step away from Robinsons Mall, SM Dasmariñas and Dasmariñas Commercial Complex. It is also just 2 kms away from Walter Mart Dasma, DLSU-Dasmariñas, and other major establishments.

Amenities

24/7 Security
Swimming Pool 
Playground
Basketball Court  
Clubhouse  
Gated Community 


House Features (The Villas 3-Storey Townhouse)

Living
Dining
Kitchen
4 Bedrooms
Den
4 T&B
Carport
Enclosed Service Area


Financing: Bank
Updated Price: PHP 9,500,000.00
Reservation: PHP 30,000.00
Down payment 10%
M.A. DP 12mos.: PHP 76,666.67

Loan Value 90%
M.A. 5-20 years at 8%-10%
Required Income: PHP 239,000.00

HLURB (DHSUD) LS No. 23356
Turnover 4 to 8 months upon down payment.","Carport, Fully fenced, Swimming pool, 24-hour security, Basketball court, Clubhouse, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/e4a01c51ae1aab.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/c0817c1865755b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/0eb2161a3df494.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/a2bd4ec412e964.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/fe9413ab32c168.jpg",https://www.lamudi.com.ph/new-developments/villas-at-dasmarinas-highlands/4-bedroom-3-storey-townhouse-for-sale-in-dasmari-a-170669392730/
918,Samantha (Ruby Park 4C-49) 5BR House and Lot for Sale in Muntinlupa | Breighton Villas at Victoria Homes,23125100,"Victoria Ave. 
                                        Tunasan, Muntinlupa",NA,5,195,"SAMANTHA Maximized interiors give you more room for hobbies, bedrooms, or simply living large. Excellent for large families or couples that prefer a room to really breathe. No. of Bedrooms: 5 No. of Bathrooms: 3 Floor Area: 195 sqm  Breighton Villas at Victoria Homes is in Muntinlupa City— a hallowed name when it comes to the idea of a safe and peaceful life. Located within Metro Manila, it is very prime real estate. The city is a mecca for both affluent citizens and upwardly mobile families seeking an elegant, relaxed existence. It is also home to several famous shopping centers, leisure destinations, schools, and hospitals. Muntinlupa remains a pleasant place to settle down and extend one's roots – and Breighton Villas at Victoria Homes is very much part of this attraction. Built in an area that was very much vast and open farmlands, Breighton Villas at Victoria Homes now finds itself at a convenient cross section of new villages, destinations, and highways including the MCX, SLEX and Skyway. It's an easy drive to the international airport in Parañaque, Makati's central business district further north and Tagaytay should you want to venture further south. Breighton Villas at Victoria Homes' progressive vicinity is perfect for real estate investments and end-use for families. Each village has its own existing amenity area like a basketball or tennis court with park and playground. Breighton is revitalizing these areas and updating the facilities with new flooring and surfaces, sports facilities, and lush landscaping.  Address: Victoria Ave., Brgy. Tunasan, Muntinlupa City, Metro Manila","Balcony, Powder room, Carport, Fully fenced, Lanai, Parks, Tennis court, Basketball court, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/e912b326f5d26e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/0c74bb2fdf1d66.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/718d9f7d2a6770.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b49b2de202f33f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/4d1a57eaf63b24.jpg",https://www.lamudi.com.ph/new-developments/victoria-south-of-alabang-1/samantha-ruby-park-4c-49-5br-house-and-lot-for-sal-172766814843/
919,Samantha (Diamond Park 1A-71) 5BR House and Lot for Sale in Muntinlupa | Breighton Villas at Victoria Homes,31206765,"Victoria Ave. 
                                        Tunasan, Muntinlupa",NA,5,195,"SAMANTHA Maximized interiors give you more room for hobbies, bedrooms, or simply living large. Excellent for large families or couples that prefer a room to really breathe. No. of Bedrooms: 5 No. of Bathrooms: 3 Floor Area: 195 sqm  Breighton Villas at Victoria Homes is in Muntinlupa City— a hallowed name when it comes to the idea of a safe and peaceful life. Located within Metro Manila, it is very prime real estate. The city is a mecca for both affluent citizens and upwardly mobile families seeking an elegant, relaxed existence. It is also home to several famous shopping centers, leisure destinations, schools, and hospitals. Muntinlupa remains a pleasant place to settle down and extend one's roots – and Breighton Villas at Victoria Homes is very much part of this attraction. Built in an area that was very much vast and open farmlands, Breighton Villas at Victoria Homes now finds itself at a convenient cross section of new villages, destinations, and highways including the MCX, SLEX and Skyway. It's an easy drive to the international airport in Parañaque, Makati's central business district further north and Tagaytay should you want to venture further south. Breighton Villas at Victoria Homes' progressive vicinity is perfect for real estate investments and end-use for families. Each village has its own existing amenity area like a basketball or tennis court with park and playground. Breighton is revitalizing these areas and updating the facilities with new flooring and surfaces, sports facilities, and lush landscaping.  Address: Victoria Ave., Brgy. Tunasan, Muntinlupa City, Metro Manila","Balcony, Powder room, Carport, Fully fenced, Lanai, Parks, Tennis court, Basketball court, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/2fc3deed7c2a61.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/0c74bb2fdf1d66.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/718d9f7d2a6770.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b49b2de202f33f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/4d1a57eaf63b24.jpg",https://www.lamudi.com.ph/new-developments/victoria-south-of-alabang-1/samantha-diamond-park-1a-71-5br-house-and-lot-for-172766812388/
920,Aliza (Ruby Park 4C-45) 3BR House and Lot for Sale in Muntinlupa | Breighton Villas at Victoria Homes,16811600,"Victoria Ave. 
                                        Tunasan, Muntinlupa",NA,3,140,"ALIZA A standard but stunning design with ample space to move both inside and especially out. Perfect for young couples and starter families. No. of Bedrooms: 3 No. of Bathrooms: 2Floor Area: 140 sqm Breighton Villas at Victoria Homes is in Muntinlupa City— a hallowed name when it comes to the idea of a safe and peaceful life. Located within Metro Manila, it is very prime real estate. The city is a mecca for both affluent citizens and upwardly mobile families seeking an elegant, relaxed existence. It is also home to several famous shopping centers, leisure destinations, schools, and hospitals. Muntinlupa remains a pleasant place to settle down and extend one's roots – and Breighton Villas at Victoria Homes is very much part of this attraction. Built in an area that was very much vast and open farmlands, Breighton Villas at Victoria Homes now finds itself at a convenient cross section of new villages, destinations, and highways including the MCX, SLEX and Skyway. It's an easy drive to the international airport in Parañaque, Makati's central business district further north and Tagaytay should you want to venture further south. Breighton Villas at Victoria Homes' progressive vicinity is perfect for real estate investments and end-use for families. Each village has its own existing amenity area like a basketball or tennis court with park and playground. Breighton is revitalizing these areas and updating the facilities with new flooring and surfaces, sports facilities, and lush landscaping.  Address: Victoria Ave., Brgy. Tunasan, Muntinlupa City, Metro Manila","Balcony, Powder room, Carport, Fully fenced, Lanai, Parks, Tennis court, Basketball court, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/aefafdf5bc6698.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/0c74bb2fdf1d66.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/718d9f7d2a6770.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b49b2de202f33f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/4d1a57eaf63b24.jpg",https://www.lamudi.com.ph/new-developments/victoria-south-of-alabang-1/aliza-ruby-park-4c-45-3br-house-and-lot-for-sale-i-172766812447/
921,Aliza (Sapphire Hills 4G-18) 3BR House and Lot for Sale in Muntinlupa | Breighton Villas at Victoria Homes,15367309,"Victoria Ave. 
                                        Tunasan, Muntinlupa",NA,3,140,"ALIZA A standard but stunning design with ample space to move both inside and especially out. Perfect for young couples and starter families. No. of Bedrooms: 3 No. of Bathrooms: 2Floor Area: 140 sqm Breighton Villas at Victoria Homes is in Muntinlupa City— a hallowed name when it comes to the idea of a safe and peaceful life. Located within Metro Manila, it is very prime real estate. The city is a mecca for both affluent citizens and upwardly mobile families seeking an elegant, relaxed existence. It is also home to several famous shopping centers, leisure destinations, schools, and hospitals. Muntinlupa remains a pleasant place to settle down and extend one's roots – and Breighton Villas at Victoria Homes is very much part of this attraction. Built in an area that was very much vast and open farmlands, Breighton Villas at Victoria Homes now finds itself at a convenient cross section of new villages, destinations, and highways including the MCX, SLEX and Skyway. It's an easy drive to the international airport in Parañaque, Makati's central business district further north and Tagaytay should you want to venture further south. Breighton Villas at Victoria Homes' progressive vicinity is perfect for real estate investments and end-use for families. Each village has its own existing amenity area like a basketball or tennis court with park and playground. Breighton is revitalizing these areas and updating the facilities with new flooring and surfaces, sports facilities, and lush landscaping.  Address: Victoria Ave., Brgy. Tunasan, Muntinlupa City, Metro Manila","Balcony, Powder room, Carport, Fully fenced, Lanai, Parks, Tennis court, Basketball court, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/f109ead7f1e3de.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/0c74bb2fdf1d66.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/718d9f7d2a6770.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b49b2de202f33f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/4d1a57eaf63b24.jpg",https://www.lamudi.com.ph/new-developments/victoria-south-of-alabang-1/aliza-sapphire-hills-4g-18-3br-house-and-lot-for-s-172766812313/
922,Samantha (Sapphire Hills 4G-42) 5BR House and Lot for Sale in Muntinlupa | Breighton Villas at Victoria Homes,19027309,"Victoria Ave. 
                                        Tunasan, Muntinlupa",NA,5,195,"SAMANTHA Maximized interiors give you more room for hobbies, bedrooms, or simply living large. Excellent for large families or couples that prefer a room to really breathe. No. of Bedrooms: 5 No. of Bathrooms: 3 Floor Area: 195 sqm  Breighton Villas at Victoria Homes is in Muntinlupa City— a hallowed name when it comes to the idea of a safe and peaceful life. Located within Metro Manila, it is very prime real estate. The city is a mecca for both affluent citizens and upwardly mobile families seeking an elegant, relaxed existence. It is also home to several famous shopping centers, leisure destinations, schools, and hospitals. Muntinlupa remains a pleasant place to settle down and extend one's roots – and Breighton Villas at Victoria Homes is very much part of this attraction. Built in an area that was very much vast and open farmlands, Breighton Villas at Victoria Homes now finds itself at a convenient cross section of new villages, destinations, and highways including the MCX, SLEX and Skyway. It's an easy drive to the international airport in Parañaque, Makati's central business district further north and Tagaytay should you want to venture further south. Breighton Villas at Victoria Homes' progressive vicinity is perfect for real estate investments and end-use for families. Each village has its own existing amenity area like a basketball or tennis court with park and playground. Breighton is revitalizing these areas and updating the facilities with new flooring and surfaces, sports facilities, and lush landscaping.  Address: Victoria Ave., Brgy. Tunasan, Muntinlupa City, Metro Manila","Balcony, Powder room, Carport, Fully fenced, Lanai, Parks, Tennis court, Basketball court, Playground","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/a4c50abdf0fe3e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/0c74bb2fdf1d66.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/718d9f7d2a6770.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b49b2de202f33f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/4d1a57eaf63b24.jpg",https://www.lamudi.com.ph/new-developments/victoria-south-of-alabang-1/samantha-sapphire-hills-4g-42-5br-house-and-lot-fo-172766811857/
